NO,학년,최근 1년 동안의 수학 성적,목표 등급,주로 사용한 문제집,이번 학기 성적
1,2,3.5,2,라이트쎈,3
3,2,2,1,자이스토리,1
4,2,4.5,3,라이트쏀,5
6,2,4,2,라이트쏀,3
7,2,2.5,1,일품,2
8,2,3.5,2,RPM,3
9,2,3,2,쏀,2
10,1,5,4,라이트쎈,4
11,2,5,4,RPM,3
12,2,3,1,1등급만들기,2
13,2,4,2,풍산자라이트유형,3
15,3,3,2,쏀,3
16,2,3,1,쏀,2
17,2,2,1,마플시너지,3
18,2,5.5,3,RPM,5
19,2,4.5,3,RPM,4
20,1,5,4,라이트쏀,4
21,2,1.5,1,자이스토리,2
22,2,3,2,RPM,3
23,2,3.5,2,자이스토리,2
24,2,4,3,쎈,3
25,2,3,1,마플시너지,2
26,2,1,1,자이스토리,1
27,2,4,2,RPM,3
29,2,4,3,개념플러스유형,4
30,2,5,3,라이트쏀,3
31,2,2,1,마플시너지,1
32,2,3,1,마플시너지,2
36,2,3,2,고쟁이,3
37,1,4,3,EBS,2
38,2,2.5,1,마플교과서,2
39,2,1,1,자이스토리,1
40,2,2,1,마플시너지,1
42,1,4,2,시발점,3
43,1,5,4,쎈,4
44,1,3,2,마더텅,2
45,3,3.5,3,시발점,3
47,2,4,2,RPM,3
49,1,2.5,2,쎈,2
50,1,2,1,쎈,2
52,1,3,2,고쟁이,3
53,1,2,1,쎈,3
54,2,3,2,쎈,2
56,2,1,1,자이스토리,1
